Keys,Values
Tên TCPH:,"
Tổng công ty cổ phần Đầu tư phát triển xây dựng
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty cổ phần đầu tư phát triển xây dựng
Mã chứng khoán:,DIG
Mã ISIN:,VN000000DIG8
Loại chứng khoán:,Cổ phần phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 60/2009/GCNCP-VSD do VSD cấp lần đầu ngày 10/08/2009, số  60/2009/GCNCP-VSD-17 cấp thay đổi lần 17 ngày 27/10/2021"
Tổng số chứng khoán đăng ký:,499.890.962 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,4.998.909.620.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
