Keys,Values
Tên TCPH:,"
Công ty cổ phần Máy - Thiết bị Dầu Khí
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Máy - Thiết bị Dầu Khí
Mã chứng khoán:,PVM
Mã ISIN:,VN000000PVM3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 119/2016/GCNCP-VSD do VSD cấp lần đầu ngày 17/10/2016
Tổng số chứng khoán đăng ký:,38.638.600 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,386.386.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
