Keys,Values
Tên TCPH:,"
Công ty  cổ phần Chứng khoán Hoà Bình
"
Tên chứng khoán:,Cổ phiếu Công ty  cổ phần Chứng khoán Hoà Bình
Mã chứng khoán:,HBS
Mã ISIN:,VN000000HBS9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"151/2010/GCNCP-VSD do VSD cấp lần đầu ngày 02/7/2011, số 151/2010/GCNCP-VSD-1 do VSD cấp thay đổi lần thứ 1 ngày 01/4/2011"
Tổng số chứng khoán đăng ký:,32.999.980 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,329.999.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
