Keys,Values
Tên TCPH:,"
Công ty cổ phần Thiết kế Công nghiệp Hóa chất
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thiết kế Công nghiệp Hóa chất
Mã chứng khoán:,CEC
Mã ISIN:,VN000000CEC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 11/2014/GCNCP-VSD do VSD cấp lần đầu ngày 25/02/2014, Số 11/2014/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 02/11/2016"
Tổng số chứng khoán đăng ký:,5.977.036 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,59.770.360.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
