Keys,Values
Tên TCPH:,"
Công ty cổ phần Bamboo Capital
"
Tên chứng khoán:,Trái phiếu Công ty cổ phần Bamboo Capital
Mã chứng khoán:,BCG122006
Mã ISIN:,VNBCG1220065
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 13/2022/GCNTPDN-VSD do VSD cấp lần đầu ngày 22/04/2022
Tổng số chứng khoán đăng ký:,5.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Trái phiếu chào bán ra công chúng thông qua đại lý phát hành
Lãi suất:,"Lãi suất kết hợp lãi suất cố định và lãi suất thả nổi:

+ Lãi suất cho 2 kỳ tính lãi đầu tiên cố định 11,5%/năm

+ Lãi suất cho các kỳ tính lãi tiếp theo sau 2 kỳ tính lãi đầu tiên là lãi suất thả nổi xác định theo công thức: Lãi suất = lãi suất tham chiếu tại kỳ tính lãi đó + biên độ 6,0%/năm.

Trong đó, lãi suất tham chiếu có nghĩa là trung bình cộng của lãi suất tiền gửi tiết kiệm cá nhân bằng đồng Việt Nam, trả lãi sau, áp dụng cho kỳ hạn 12 tháng (hoặc tương đương) công bố tại trang thông tin điện tử chính thức của các ngân hàng tham chiếu. Ngân hàng tham chiếu bao gồm Ngân hàng TMCP Đầu tư và Phát triển Việt Nam, Ngân hàng TMCP Ngoại thương Việt Nam, Ngân hàng TMCP Công thương Việt Nam và Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam."
Cách thức trả lãi:,"Chuyển khoản. Vào ngày thanh toán lãi, tổ chức phát hành sẽ thanh toán lãi vào tài khoản được đăng ký của mỗi người sở hữu trái phiếu theo quy định tại các điều kiện trái phiếu."
Kỳ hạn:,05 năm
Ngày phát hành:,20/01/2022
Ngày đáo hạn:,20/01/2027
Nơi quản lý tại VSD:,Chi nhánh
