Keys,Values
Tên TCPH:,"
Công ty cổ phần Hạ tầng viễn thông CMC
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Hạ tầng viễn thông CMC
Mã chứng khoán:,CTE
Mã ISIN:,VN000000CTE2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 04/2016/GCNCP-VSD do VSD cấp lần đầu ngày 14/01/2016, số 04/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 14/09/2017





"
Tổng số chứng khoán đăng ký:,53.868.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,538.680.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
