Keys,Values
Tên TCPH:,"
Công ty cổ phần Công trình đô thị  Nam Định
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công trình đô thị Nam Định
Mã chứng khoán:,UMC
Mã ISIN:,VN000000UMC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 145 /2017/GCNCP-VSD do VSD cấp ngày 25/07/2017
Tổng số chứng khoán đăng ký:,1.841.617 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,18.416.170.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
