Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Đầu tư KTT
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Đầu tư KTT
Mã chứng khoán:,KTT
Mã ISIN:,VN000000KTT3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 247/2010/GCNCP-VSD do VSD cấp lần đầu ngày 08/10/2010, Số 247/2010/GCNCP-VSD-3 cấp thay đổi lần thứ 3 ngày 26/11/2020"
Tổng số chứng khoán đăng ký:,2.955.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,29.550.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
