Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư HVA
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư HVA
Mã chứng khoán:,HVA
Mã ISIN:,VN000000HVA5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 19/2015/GCNCP-VSD do VSD cấp lần đầu ngày 09/4/2015, Số: 19/2015/2009/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 05/01/2022"
Tổng số chứng khoán đăng ký:,13.650.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,136.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
