Keys,Values
Tên TCPH:,"
Công ty cổ phần ô tô Trường Hải
"
Tên chứng khoán:,Cổ phiếu CTCP Ô tô Trường Hải
Mã chứng khoán:,THA
Mã ISIN:,VN000000THA9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 18/2013/GCNCP-VSD do VSD cấp lần đầu ngày 05/08/2013, Số 18/2013/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 01/09/2020"
Tổng số chứng khoán đăng ký:,3.051.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.510.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
