Keys,Values
Tên TCPH:,"
Công ty cổ phần Dược Hà Tĩnh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Dược Hà Tĩnh
Mã chứng khoán:,HDP
Mã ISIN:,VN000000HDP1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 49/2016/GCNCP-VSD do VSD cấp lần đầu ngày 17/02/2017, Số: 49/2017/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 11/11/2021"
Tổng số chứng khoán đăng ký:,9.461.418 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,94.614.180.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
