Keys,Values
Tên TCPH:,"
Công ty cổ phần Công trình Giao thông Sài Gòn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công trình Giao thông Sài Gòn
Mã chứng khoán:,GTS
Mã ISIN:,VN000000GTS3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 105/2016/GCNCP-VSD do VSD cấp lần đầu ngày 26/092016, Số 105/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 28/8/2017 "
Tổng số chứng khoán đăng ký:,28.499.764 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,284.997.640.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
