Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển Đô thị Sài Đồng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Đô thị Sài Đồng
Mã chứng khoán:,SDI
Mã ISIN:,VN000000SDI3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 40/2011/GCNCP-VSD do VSD cấp lần đầu ngày 03/06/2011, Số 40/2011/GCNCP-VSD-1 cấp thay đổi lần nhất ngày 13/08/2012"
Tổng số chứng khoán đăng ký:,119.995.800 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.199.958.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
