Keys,Values
Tên TCPH:,"
Công ty cổ phần Nam Vang
"
Tên chứng khoán:,Cỏ phiếu Công ty Cổ phần Nam Vang
Mã chứng khoán:,NVC
Mã ISIN:,VN000000NVC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 04/2008/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 08/01/2008
Tổng số chứng khoán đăng ký:,16.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,160.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
