Keys,Values
Tên TCPH:,"
Công ty cổ phần Kinh doanh nước sạch Hải Dương
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Kinh doanh nước sạch Hải Dương
Mã chứng khoán:,HDW
Mã ISIN:,VN000000HDW7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 187/2017/GCNCP-VSD do VSD cấp lần đầu ngày 03/10/2017
Tổng số chứng khoán đăng ký:,31.882.470 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,318.824.700.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
