Keys,Values
Tên TCPH:,"
Công ty cổ phần Thiết kế và Công nghệ Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thiết kế và Công nghệ Việt Nam
Mã chứng khoán:,FVN
Mã ISIN:,VN000000FVN2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 02-CPH/2019/GCNCP-VSD do VSD cấp ngày 22/05/2019, Số:  36/2019/GCNCP-VSD  cấp thay đổi ngày 16/08/2019"
Tổng số chứng khoán đăng ký:,282.200 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.822.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
