Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư & Thương mại Vũ Đăng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư & Thương mại Vũ Đăng
Mã chứng khoán:,SVD
Mã ISIN:,VN000000SVD6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 27/2020/GCNCP-VSD do VSD cấp  ngày 05/05/2020; số 27/2020/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 10/05/2022
Tổng số chứng khoán đăng ký:,25.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,258.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
