Keys,Values
Tên TCPH:,"
CTCP Công trình giao thông Đồng Nai
"
Tên chứng khoán:,Cổ phiếu CTCP Công trình giao thông Đồng Nai
Mã chứng khoán:,DGT
Mã ISIN:,VN000000DGT5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 118/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 22/12/2009, số 118/2009/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 05/04/2022"
Tổng số chứng khoán đăng ký:,79.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,790.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
