Keys,Values
Tên TCPH:,"
Công ty cổ phần Nông nghiệp Công nghệ cao Hậu Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nông nghiệp Công nghệ cao Hậu Giang
Mã chứng khoán:,HGA
Mã ISIN:,VN000000HGA6
Loại chứng khoán:,Cổ phần phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 21/2021/GCNCP-VSD do VSD cấp lần đầu ngày 28/05/2021
Tổng số chứng khoán đăng ký:,1.875.650 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,18.756.500.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
