Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Hòa Phát
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần Tập đoàn Hòa Phát
Mã chứng khoán:,HPG
Mã ISIN:,VN000000HPG4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 101/2007/GCNCP-CNTTLK do VSD cấp lần đầu ngày 30/10/2007, số 101/2007/GCNCP-VSD-17 thay đổi lần thứ 17 ngày 16/06/2021"
Tổng số chứng khoán đăng ký:,4.472.922.706 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,44.729.227.060.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
