Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí Vận tải Thương mại Đại Hưng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần cơ khí Vận tải Thương mại Đại Hưng
Mã chứng khoán:,DHL
Mã ISIN:,VN000000DHL0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,12/2012/GCNCP-VSD do VSD cấp ngày 22/05/2012
Tổng số chứng khoán đăng ký:,5.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,55.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
