Keys,Values
Tên TCPH:,"
Công ty Cổ phần Pin Ắc quy miền Nam
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần pin Ắc quy niềm Nam
Mã chứng khoán:,PAC
Mã ISIN:,VN000000PAC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 53/2006/GCNCP-CNTTLK do VSD cấp lần đầu ngày 30/11/2006, số 53/2006/GCNCP-VSD-8 thay đổi lần 8 ngày 26/07/2016"
Tổng số chứng khoán đăng ký:,46.471.707 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,464.717.070.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
