Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
"
Tên chứng khoán:,Trái phiếu Công ty cổ phần Đầu tư Hạ tầng Kỹ thuật Tp.HCM
Mã chứng khoán:,CII11709
Mã ISIN:,VN0CII117096
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số 72/2017/GCNTP-VSD do VSD cấp ngày 9/10/2017
Tổng số chứng khoán đăng ký:,2.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức phát hành:,Bán lẻ
Lãi suất:," + Năm 1: 8%/năm;
+ Năm 2: Lãi suất tham chiếu + 1%/năm:
(*) Lãi suất tham chiếu: Bình quân lãi suất huy động tiền gửi doanh nghiệp bằng VNĐ kỳ hạn 12 tháng trả lãi sau được công bố bởi 4 Ngân hàng:
·     Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
·     Ngân hàng TMCP Công thương Việt Nam
·     Ngân hàng TMCP Ngoại thương Việt Nam
·     Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam"
Cách thức trả lãi:,"Phương thức thanh toán lãi: trả sau, định kỳ 03 tháng/lần. Phương thức thanh toán gốc: trả một lần vào ngày đáo hạn"
Kỳ hạn:,2 năm 
Ngày phát hành:,26/07/2017
Ngày đáo hạn:,26/07/2019
Nơi quản lý tại VSD:,Chi nhánh
