Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Thành Công
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Thành Công
Mã chứng khoán:,TCI
Mã ISIN:,VN000000TCI3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 68/2018/GCNCP-VSD do VSD cấp lần đầu ngày 17/08/2018; số 68/2018/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 02/12/2021
Tổng số chứng khoán đăng ký:,100.979.982 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.009.799.820.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
