Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn Xây dựng Petrolimex
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tư vấn Xây dựng Petrolimex
Mã chứng khoán:,PLE
Mã ISIN:,VN000000PLE1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 77/2020/GCNCP-VSD do VSD cấp lần đầu ngày 17/12/2020
Tổng số chứng khoán đăng ký:,1.215.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,12.150.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
