Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng và Đầu tư Visicons
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây dựng và Đầu tư Visicons
Mã chứng khoán:,VC6
Mã ISIN:,VN000000VC62
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 10/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 17/01/2008,Số: 10/2008/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày 07/05/2018"
Tổng số chứng khoán đăng ký:,8.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,80.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
