Keys,Values
Tên TCPH:,"
Công ty cổ phần Bê tông Xây dựng Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bê tông Xây dựng Hà Nội
Mã chứng khoán:,VBX
Mã ISIN:,VN000000VBX0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 16/2021/GCNCP-VSD do VSD cấp lần đầu ngày 15/04/2021
Tổng số chứng khoán đăng ký:,13.600.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,136.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
