Keys,Values
Tên TCPH:,"
Công ty cổ phần Tu bổ di tích Trung Ương - Vinaremon
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tu bổ di tích Trung Ương - Vinaremon
Mã chứng khoán:,REM
Mã ISIN:,VN000000REM5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 20/2010/GCNCP-VSD-1 do TTLKCK Việt Nam cấp ngày 03/07/2012
Tổng số chứng khoán đăng ký:,1.148.600 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,11.486.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
