Keys,Values
Tên TCPH:,"
Công ty cổ phần Đồ hộp Hạ Long
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đồ hộp Hạ Long
Mã chứng khoán:,CAN
Mã ISIN:,VN000000CAN3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 25/GCN/TTGD-LK do TTGDCK Tp.HCM cấp lần đầu ngày17/10/2001. Số 05/2007/GCNCP-CNTTLK do Chi nhánh VSD cấp thay đổi lần 1 ngày 06/02/2007
Tổng số chứng khoán đăng ký:,5.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,50.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
