Keys,Values
Tên TCPH:,"
Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
Mã chứng khoán:,BCV
Mã ISIN:,VN000000BCV4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số:  64/2020/GCNCP-VSD do VSD cấp lần đầu ngày 02/11/2020
Tổng số chứng khoán đăng ký:,1.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,18.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
