Keys,Values
Tên TCPH:,"
Công ty Cổ phần Quản lý Quỹ Thiên Việt
"
Tên chứng khoán:,Quỹ Đầu tư Tăng trưởng Thiên Việt 2
Mã chứng khoán:,FUCTVGF2
Mã ISIN:,VN0FUCTVGF21
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,số 01/2018/GCNCCQ-VSD do VSD cấp ngày 02/02/2018
Tổng số chứng khoán đăng ký:,17.000.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,170.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
