Keys,Values
Tên TCPH:,"
Công ty cổ phần CNG Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần CNG Việt Nam
Mã chứng khoán:,CNG
Mã ISIN:,VN000000CNG0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,72/2011/GCNCP-VSD-2 do TTLKCK Việt Nam cấp lần đầu ngày 09/11/2011 và cấp thay đổi lần 2 ngày 05/11/2013
Tổng số chứng khoán đăng ký:,27.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,270.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
