Keys,Values
Tên TCPH:,"
Công ty TNHH Quản lý quỹ SSI
"
Tên chứng khoán:,Chứng chỉ quỹ Quỹ ETF SSIAM HNX30
Mã chứng khoán:,E1SSHN30
Mã ISIN:,VN0E1SSHN304
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận đăng ký chứng chỉ quỹ:,"Số 02/2014/GCNETF-VSD do VSD cấp ngày 15/12/2014, Số 02/2014/GCNETF-VSD-4 cấp thay đổi lần 4 ngày 28/07/2016"
Tổng số chứng khoán đăng ký:,9.800.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,98.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
