Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư - Xây dựng Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư - Xây dựng Hà Nội
Mã chứng khoán:,HCI
Mã ISIN:,VN000000HCI8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 150/2010/GCNCP-VSD do VSD cấp lần đầu ngày 02/07/2010, Số 150/2010/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 21/09/2010"
Tổng số chứng khoán đăng ký:,5.232.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,52.320.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
