Keys,Values
Tên TCPH:,"
Công ty Cổ phần Tư vấn Sông Đà
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Tư vấn Sông Đà
Mã chứng khoán:,SDC
Mã ISIN:,VN000000SDC6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 59/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 21/12/2006. Số 59/2006/GCNCP-VSD-4 do VSD cấp thay đổi lần thứ 4 ngày 13/01/2012
Tổng số chứng khoán đăng ký:,2.609.710 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,26.097.100.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
