Keys,Values
Tên TCPH:,"
Công ty Cổ phần Nhựa Sam Phú
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Nhựa Sam Phú
Mã chứng khoán:,NSP
Mã ISIN:,VN000000NSP7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 242/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 05/10/2010
Tổng số chứng khoán đăng ký:,5.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,50.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
