Keys,Values
Tên TCPH:,"
Công ty cổ phần Phát hành sách và thiết bị trường học Hưng yên
"
Tên chứng khoán:,cổ phiếu CTCP phát hành sách và thiết bị trường học Hưng Yên
Mã chứng khoán:,HST
Mã ISIN:,VN000000HST1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 115 /2009/GCNCP-VSD do VSD cấp lần đầu ngày 18/12/2009
Tổng số chứng khoán đăng ký:,1.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,15.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
