Keys,Values
Tên TCPH:,"
CTCP Đầu tư Xây dựng Thanh Niên
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư Xây dựng Thanh Niên
Mã chứng khoán:,TNY
Mã ISIN:,VN000000TNY7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 805/2010/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 15/09/2010 , số 805/2010/GCNCP-VSD-1 cấp lại lần 1 ngày 31/03/2016"
Tổng số chứng khoán đăng ký:,3.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
