Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn và đầu tư phát triển Quảng Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tư vấn và đầu tư phát triển Quảng Nam
Mã chứng khoán:,QNT
Mã ISIN:,VN000000QNT3
Loại chứng khoán:,Cổ phần phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 19/CPH/2019/GCNCP-VSD do VSD cấp ngày 23/12/2019, Số: 59/2020/GCNCP-VSD cấp ngày 21/09/2020; Số: 59/2020/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 19/04/2022"
Tổng số chứng khoán đăng ký:,3.222.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,32.220.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
