Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển Giáo dục Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Giáo dục Hà Nội
Mã chứng khoán:,EID
Mã ISIN:,VN000000EID3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,số 37/2009/GCNCP-TTLK do VSD cấp  lần đầu ngày 24/07/2009. Số 37/2009/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 27/09/2010
Tổng số chứng khoán đăng ký:,15.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
