Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần An Bình
"
Tên chứng khoán:,Cổ phiếu Ngân hàng Thương mại cổ phần An Bình
Mã chứng khoán:,ABB
Mã ISIN:,VN000000ABB0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 78/2020/GCNCP-VSD do VSD cấp ngày 18/12/2020, số 78/2020/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 11/03/2022"
Tổng số chứng khoán đăng ký:,940.947.082 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,9.409.470.820.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
