Keys,Values
Tên TCPH:,"
Công ty cổ phần Tổng Công ty Thương mại Quảng Trị
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tổng Công ty Thương mại Quảng Trị
Mã chứng khoán:,SEP
Mã ISIN:,VN000000SEP6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số  12/2017/GCNCP-VSD do VSD cấp lần đầu ngày 11/01/2017, số  12/2017/GCNCP-VSD-1 ngày 17/3/2017"
Tổng số chứng khoán đăng ký:,8.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,84.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
