Keys,Values
Tên TCPH:,"
Công ty cổ phần Pymepharco
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Pymepharco
Mã chứng khoán:,PME
Mã ISIN:,VN000000PME9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 202/2017/GCNCP-VSD do VSD cấp lần đầu ngày 25/10/2017, Số 202/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 04/07/2018"
Tổng số chứng khoán đăng ký:,75.011.625 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,750.116.250.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
