Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư DNA
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư DNA
Mã chứng khoán:,KSD
Mã ISIN:,VN000000KSD9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 88/2010/GCNCP-VSD do VSD cấp lần đầu ngày 27/04/2010, Số 88/2010/GCNCP-VSD-3 cấp thay đổi lần thứ ba ngày 18/12/2014"
Tổng số chứng khoán đăng ký:,12.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,120.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
