Keys,Values
Tên TCPH:,"
Công ty Cổ phần Louis Land
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Louis Land
Mã chứng khoán:,BII
Mã ISIN:,VN000000BII8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 50/2014/GCNCP-VSD do VSD cấp lần đầu ngày 09/07/2014, Số 50/2014/GCNCP-VSD-4 thay đổi lần 4 ngày 01/07/2021"
Tổng số chứng khoán đăng ký:,57.680.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,576.800.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
