Keys,Values
Tên TCPH:,"
CTCP Chế Biến Thủy sản xuất khẩu Ngô Quyền
"
Tên chứng khoán:,Cổ phiếu CTCP Chế Biến Thủy sản xuất khẩu Ngô Quyền
Mã chứng khoán:,NGC
Mã ISIN:,VN000000NGC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 09/2008/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 15/01/2008, số 09/2008/GCNCP-VSD-3 thay đổi lần 3 ngày 22/08/2018"
Tổng số chứng khoán đăng ký:,2.299.854 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,22.998.540.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
