Keys,Values
Tên TCPH:,"
CTCP Tập đoàn Xây dựng Hòa Bình
"
Tên chứng khoán:,Cổ phiếu CTCP Tập đoàn Xây dựng Hòa Bình
Mã chứng khoán:,HBC
Mã ISIN:,VN000000HBC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 62/2006/GCNCP-CNTTLK do VSD cấp lần đầu ngày 19/12/2006, Số:  62/2006/GCNCP-VSD-25 cấp thay đổi lần 25 ngày 10/02/2022"
Tổng số chứng khoán đăng ký:,245.654.354 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.456.543.540.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
