Keys,Values
Tên TCPH:,"
Công ty cổ phần Khoáng sản và Vật liệu Xây dựng Gia Lai
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Khoáng sản và Vật liệu Xây dựng Gia Lai
Mã chứng khoán:,KSG
Mã ISIN:,VN000000KSG2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 44/2014/GCNCP-VSD ngày 13/06/2014 do VSD cấp lần đầu ngày 13/06/2014, số  44/2014/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 18/03/2016"
Tổng số chứng khoán đăng ký:,17.062.450 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,170.624.500.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
