Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư LDG
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư LDG
Mã chứng khoán:,LDG
Mã ISIN:,VN000000LDG2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 63/2015/GCNCP-VSD do VSD cấp lần đầu ngày 30/07/2015,  Số: 63/2015/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 07/06/2019"
Tổng số chứng khoán đăng ký:,240.212.451 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.402.124.510.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
