Keys,Values
Tên TCPH:,"
Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội
"
Tên chứng khoán:,Cổ phiếu CTCP Thương mại và Vận tải Petrolimex Hà Nội
Mã chứng khoán:,PJC
Mã ISIN:,VN000000PJC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 57/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 21/12/2006, Số 57/2006/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 09/08/2016"
Tổng số chứng khoán đăng ký:,7.326.928 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,73.269.280.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
