Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu chính phủ đấu thầu đợt 9/2002
Mã chứng khoán:,CP4_0902
Mã ISIN:,VN00CP409022
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,600.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,60.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,9.1%/năm
Cách thức trả lãi:,
Kỳ hạn:,10 năm
Ngày phát hành:,18/09/2002
Ngày đáo hạn:,18/09/2012
Nơi quản lý tại VSD:,Trụ sở chính
