Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ khí và Xây lắp Công nghiệp
"
Tên chứng khoán:,Cổ phiếu CTCP Cơ khí và Xây lắp Công nghiệp
Mã chứng khoán:,IME
Mã ISIN:,VN000000IME4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 77/2009/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 28/10/2009
Tổng số chứng khoán đăng ký:,3.599.948 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,35.999.480.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
