Keys,Values
Tên TCPH:,"
CTCP Đầu tư và Xây dựng Cấp thoát nước
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư và Xây dựng Cấp thoát nước
Mã chứng khoán:,VSI
Mã ISIN:,VN000000VSI5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 280/2010/GCNCP - VSD-1 do TTLKCK Việt Nam cấp thay đổi lần 1 ngày 22/11/2011
Tổng số chứng khoán đăng ký:,13.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,132.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
