Keys,Values
Tên TCPH:,"
Công ty cổ phần Chè Bàu Cạn
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chè Bàu Cạn
Mã chứng khoán:,CBC
Mã ISIN:,VN000000CBC4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 199/2017/GCNCP-VSD do VSD cấp ngày 19/10/2017, Số: 199/2017/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 28/05/2019"
Tổng số chứng khoán đăng ký:,11.882.400 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,118.824.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
