Keys,Values
Tên TCPH:,"
Công ty cổ phần Phân đạm và Hóa chất Hà Bắc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phân đạm và Hóa chất Hà Bắc
Mã chứng khoán:,DHB
Mã ISIN:,VN000000DHB1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 57/2017/GCNCP-VSD do VSD cấp lần đầu ngày 27/02/2017
Tổng số chứng khoán đăng ký:,272.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.722.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
