Keys,Values
Tên TCPH:,"
Công ty cổ phần ILA
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần ILA
Mã chứng khoán:,ILA
Mã ISIN:,VN000000ILA4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 209/2017/GCNCP-VSD do VSD cấp ngày 06/11/2017, Số: 209/2017/GCNCP-VSD-4 cấp thay đổi lần 4 ngày 10/01/2022"
Tổng số chứng khoán đăng ký:,18.529.939 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,185.299.390.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
