Keys,Values
Tên TCPH:,"
Công ty cổ phần Môi trường và Công trình Đô thị Hưng Yên
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Môi trường và Công trình Đô thị Hưng Yên
Mã chứng khoán:,MHY
Mã ISIN:,VN000000MHY4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 06-CPH/2019/GCNCP-VSD do VSD cấp ngày 23/05/2019; số 31/2021/GCNCP-VSD do VSD cấp lại ngày 17/08/2021
Tổng số chứng khoán đăng ký:,15.113.472 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,151.134.720.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
