Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần Phát triển thành phố Hồ Chí Minh
"
Tên chứng khoán:,Cổ phiếu Ngân hàng Thương mại cổ phần Phát triển thành phố Hồ Chí Minh
Mã chứng khoán:,HDB
Mã ISIN:,VN000000HDB1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 231/2017/GCNCP-VSD do VSD cấp ngày 21/12/2017; số 231/2017/GCNCP-VSD-3 cấp thay đổi lần 03 ngày 30/09/2021
Tổng số chứng khoán đăng ký:,2.027.290.642 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,20.272.906.420.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
