Keys,Values
Tên TCPH:,"
Công ty cổ phần Cà phê An Giang
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Cà phê An Giang
Mã chứng khoán:,AGC
Mã ISIN:,VN000000AGC7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 53/2008/GCNCP-TTLK do TTLKCK Việt Nam cấp ngày 18/11/2008
Tổng số chứng khoán đăng ký:,8.300.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,83.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
