Keys,Values
Tên TCPH:,"
Công ty cổ phần Bê tông Hòa Cầm - INTIMEX
"
Tên chứng khoán:,Cổ phiếu CTCP Bê tông Hoà Cầm - INTIMEX
Mã chứng khoán:,HCC
Mã ISIN:,VN000000HCC1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 22/2007/GCNCP-TTLK do VSD cấp lần đầu ngày 12/12/2007, số 22/2007/GCNCP-VSD-6 cấp thay đổi lần thứ 6 ngày 31/07/2017"
Tổng số chứng khoán đăng ký:,6.518.586 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,65.185.860.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
