Keys,Values
Tên TCPH:,"
Công ty cổ phần chứng khoán Yuanta Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Yuanta Việt Nam
Mã chứng khoán:,FSC
Mã ISIN:,VN000000FSC1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 117/2017/GCNCP-VSD do VSD cấp lần đầu 09/06/2017,Số: 117/2017/GCNCP-VSD-2 cấp lại lần 2 ngày 15/10/2018"
Tổng số chứng khoán đăng ký:,100.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
