Keys,Values
Tên TCPH:,"
Công ty cổ phần Phát triển Sunshine Homes
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phát triển Sunshine Homes
Mã chứng khoán:,SSH
Mã ISIN:,VN000000SSH3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số:   26/2021/GCNCP-VSD do VSD cấp lần đầu ngày 05/07/2021
Tổng số chứng khoán đăng ký:,375.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.750.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
