Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng Coteccons
"
Tên chứng khoán:,Trái phiếu Công ty cổ phần Xây dựng Coteccons
Mã chứng khoán:,CTD122015
Mã ISIN:,VNCTD1220155
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,1.000.000.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 14/2022/GCNTPDN-VSD do VSD cấp lần đầu ngày 26/04/2022
Tổng số chứng khoán đăng ký:,500 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Trái phiếu phát hành ra công chúng
Lãi suất:,"Cố định 9,5%/năm"
Cách thức trả lãi:,Trả định kỳ 06 tháng/lần thông qua chuyển khoản.
Kỳ hạn:,03 năm
Ngày phát hành:,14/01/2022
Ngày đáo hạn:,14/01/2025
Nơi quản lý tại VSD:,Chi nhánh
