Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Trí Việt
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Trí Việt
Mã chứng khoán:,TVB
Mã ISIN:,VN000000TVB8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 35/2015/GCNCP-VSD do VSD cấp ngày 05/06/2015, Số 35/2015/GCNCP-VSD-8 cấp thay đổi lần 8 ngày 04/08/2021"
Tổng số chứng khoán đăng ký:,112.015.461 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.120.154.610.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
